id,created_at,text
1019605218000920576,Wed Jul 18 15:30:01 +0000 2018,"Innovate in minutes, not weeks with NVIDIA #GPUCloud. Sign up to get free access to the latest GPU-optimized contai… https://t.co/LWVRqk1YwE"
1019293123178971136,Tue Jul 17 18:49:52 +0000 2018,
1019262475253043201,Tue Jul 17 16:48:05 +0000 2018,We’ve partnered together with VR industry leaders to bring you VirtualLink - a new open industry standard to connec… https://t.co/JY9tdJmpau
1018883452597239809,Mon Jul 16 15:41:59 +0000 2018,
1017820274173997056,Fri Jul 13 17:17:18 +0000 2018,
1017520516721233922,Thu Jul 12 21:26:10 +0000 2018,Researchers at the University of Pittsburgh use our GPUs and #deeplearning to virtually screen test molecules.… https://t.co/rOtKbViKvp
1017463186063122432,Thu Jul 12 17:38:21 +0000 2018,
1017132513062350848,Wed Jul 11 19:44:23 +0000 2018,"

Welcome to the cloud. #GameAnywhere…"
1017098082285056000,Wed Jul 11 17:27:34 +0000 2018,
1017084273021448192,Wed Jul 11 16:32:41 +0000 2018,
1016838215469228032,Wed Jul 11 00:14:57 +0000 2018,
1016787966667120640,Tue Jul 10 20:55:16 +0000 2018,"
next wave of robots, drones and other autonomo…"
1016739745043345408,Tue Jul 10 17:43:39 +0000 2018,
1016698569028460544,Tue Jul 10 15:00:02 +0000 2018,"Happy Birthday to Nikola Tesla, the extraordinary inventor. Check out his life and legacy: https://t.co/sXMRolh0hc… https://t.co/N4ZueM5yS1"
1016555105217200129,Tue Jul 10 05:29:58 +0000 2018,
1016445997466071040,Mon Jul 09 22:16:25 +0000 2018,
1016435893656154113,Mon Jul 09 21:36:16 +0000 2018,
1016384188314841088,Mon Jul 09 18:10:48 +0000 2018,
1016373275490832389,Mon Jul 09 17:27:26 +0000 2018,
1015689943136415744,Sat Jul 07 20:12:07 +0000 2018,
1015274347622121472,Fri Jul 06 16:40:42 +0000 2018,"

In this week's episode, Bob Stewart of  shows an easy way to…"
1015267370011541505,Fri Jul 06 16:12:58 +0000 2018,
1014524239192383489,Wed Jul 04 15:00:02 +0000 2018,"Happy #4thofJuly2018! To celebrate, we’re showing this #rendering work by , using Redshift and NVIDI… https://t.co/4ggO0yko06"
1014175249565302790,Tue Jul 03 15:53:16 +0000 2018,We demonstrated that accelerated computing is the path forward at #ISC18. Catch up with our latest announcements an… https://t.co/W0L0eWEA8I
1013911998189338625,Mon Jul 02 22:27:12 +0000 2018,
1013848448901120011,Mon Jul 02 18:14:41 +0000 2018,"Our chief scientist and head of NVIDIA Research, Dr. Bill Dally, will be delivering the opening keynote at the ERI… https://t.co/HXJqQ3RH0x"
1013838095358164993,Mon Jul 02 17:33:32 +0000 2018,
1012828631926636545,Fri Jun 29 22:42:17 +0000 2018,
1012432498008047616,Thu Jun 28 20:28:12 +0000 2018,
1012360015527604225,Thu Jun 28 15:40:11 +0000 2018,
1012358168502927361,Thu Jun 28 15:32:50 +0000 2018,
1012098908997107712,Wed Jun 27 22:22:38 +0000 2018,
1012097385726599168,Wed Jun 27 22:16:35 +0000 2018,
1011994419275300865,Wed Jun 27 15:27:26 +0000 2018,
1011718687760396289,Tue Jun 26 21:11:46 +0000 2018,
1011652212798308353,Tue Jun 26 16:47:37 +0000 2018,
1011643007030870016,Tue Jun 26 16:11:02 +0000 2018,
1011377660981739521,Mon Jun 25 22:36:39 +0000 2018,Our CEO Jensen Huang joined a group of NVIDIANs for the fun-filled #Pride2018 Parade in San Francisco.… https://t.co/hLYkQAuhy5
1011340167737589760,Mon Jun 25 20:07:40 +0000 2018,
1011319138034151425,Mon Jun 25 18:44:06 +0000 2018,
1011248046087139328,Mon Jun 25 14:01:36 +0000 2018,
1010900352571359232,Sun Jun 24 15:00:00 +0000 2018,NVIDIANs will be joining today's celebration at San Francisco #Pride2018. #EqualityForAll https://t.co/QKAwlaZIBS
1010545517405835264,Sat Jun 23 15:30:01 +0000 2018,"Happy Birthday to Alan Turing, the remarkable pioneer of #computerscience. https://t.co/0n4Zb5KkLm #onthisday https://t.co/DJZyLah0GE"
1010284193408942080,Fri Jun 22 22:11:36 +0000 2018,
1010261357810237440,Fri Jun 22 20:40:52 +0000 2018,
1010190272376918016,Fri Jun 22 15:58:24 +0000 2018,
1009943675684548608,Thu Jun 21 23:38:30 +0000 2018,
1009943429382471681,Thu Jun 21 23:37:32 +0000 2018,
1009855820077527040,Thu Jun 21 17:49:24 +0000 2018,
1009830635530145792,Thu Jun 21 16:09:19 +0000 2018,
1009828666388275200,Thu Jun 21 16:01:30 +0000 2018,
1009588708259946496,Thu Jun 21 00:07:59 +0000 2018,
1009582554058330112,Wed Jun 20 23:43:32 +0000 2018,
1009523348009676800,Wed Jun 20 19:48:16 +0000 2018,
1009454442607927296,Wed Jun 20 15:14:28 +0000 2018,
1009163658306281472,Tue Jun 19 19:59:00 +0000 2018,
1009123624647680000,Tue Jun 19 17:19:55 +0000 2018,
1008768653267910661,Mon Jun 18 17:49:23 +0000 2018,
1008767514036224000,Mon Jun 18 17:44:51 +0000 2018,
1008738284267163649,Mon Jun 18 15:48:43 +0000 2018,
